nurse_id,emp_id,shift,shiftDate,surgerySkill_id,name,years,surgery_type
45,19,Night,2023-12-17,4,Jamie Fitzgerald,16,4
46,85,Afternoon,2023-12-21,8,Dr. Melissa Schmidt DVM,21,8
47,71,Morning,2023-12-17,8,Xavier Barrett,19,8
48,60,Afternoon,2024-01-08,9,Linda Parker,3,9
49,7,Morning,2023-12-22,6,Jessica Shea,2,6
50,99,Afternoon,2023-12-21,8,Jerry White,24,8
51,65,Morning,2023-12-26,4,April Smith,18,4
52,52,Morning,2023-12-31,1,Jessica Wise,16,1
53,61,Night,2023-12-13,4,Victoria Cook DDS,17,4
54,35,Morning,2023-12-14,10,Douglas Miranda MD,29,10
55,26,Night,2023-12-25,1,Anthony Brewer,19,1
56,33,Morning,2024-01-07,10,Dustin Collins,3,10
57,47,Night,2024-01-11,6,Brianna Williams,24,6
58,57,Afternoon,2023-12-30,8,Makayla Nguyen,19,8
59,76,Night,2024-01-04,10,Mark Parker,8,10
60,20,Morning,2024-01-04,8,Nicole Eaton,3,8
61,55,Night,2023-12-14,9,Lisa Adkins,22,9
62,27,Night,2023-12-23,1,James Perry,25,1
63,31,Afternoon,2023-12-18,7,Derek Romero,21,7
64,28,Morning,2023-12-27,8,Stephen Casey,11,8
65,29,Night,2023-12-27,5,Bonnie Gibbs,30,5
66,93,Morning,2023-12-15,6,Grace Olson,25,6
67,70,Night,2023-12-28,10,Michelle Davenport,28,10
68,90,Night,2023-12-13,9,Susan Campbell,11,9
69,68,Morning,2023-12-15,4,William Fuentes,30,4
70,30,Night,2024-01-09,2,Sean Hurley,22,2
71,81,Morning,2024-01-07,1,William Moore,11,1
72,91,Afternoon,2023-12-16,3,David Richardson,14,3
73,15,Night,2024-01-05,10,Andre Ortiz,11,10
74,9,Night,2023-12-27,1,Sonya Sanchez,23,1
75,37,Night,2023-12-27,2,Amy Cummings,26,2
76,84,Morning,2024-01-07,6,Vanessa Turner,29,6
77,96,Afternoon,2024-01-09,1,Jason Pennington,15,1
78,75,Afternoon,2023-12-15,10,Karen Martin,13,10
79,44,Night,2023-12-17,1,Heather Jones,19,1
80,98,Night,2024-01-01,7,Tamara Ramos,29,7
81,74,Afternoon,2024-01-02,2,Chad Brooks,22,2
82,73,Night,2024-01-05,9,Erin White,21,9
83,39,Afternoon,2023-12-18,2,Sarah Santos,14,2
84,2,Morning,2023-12-24,8,James Martinez,18,8
85,23,Night,2024-01-10,6,Mary Parker,20,6
86,67,Morning,2024-01-11,9,Joseph Davis,6,9
87,14,Night,2024-01-03,1,Craig Torres,29,1
88,8,Morning,2024-01-08,1,Mark Hernandez,21,1
89,88,Night,2024-01-02,2,Jacob Hall,14,2
90,86,Morning,2023-12-26,6,Adam Chavez,30,6
91,83,Night,2024-01-02,3,Sandra Powell,3,3
92,32,Night,2023-12-31,8,Monica Thompson,17,8
93,63,Night,2024-01-07,7,Michael Collins,16,7
94,11,Night,2024-01-01,2,Richard Smith,25,2
95,97,Afternoon,2024-01-06,10,Jeffrey Carter,18,10
96,72,Night,2023-12-15,6,Aaron Johnson,5,6
97,17,Morning,2023-12-24,5,Dawn Winters,4,5
98,41,Afternoon,2023-12-26,10,John Bailey,21,10
99,38,Afternoon,2023-12-27,1,William Jimenez,27,1
100,95,Afternoon,2023-12-22,6,Justin Mcdonald,4,6
