patient_id,name,address,admittedDate,bedID,bloodType,dob,duration,gender,primaryPhysician,ssn
4,Theresa Cummings,"6584 Harris Isle Suite 528
Williamton, CO 91322",2023-08-18,78,O-,2002-05-18,26,Female,Robyn Coleman,004-00-1004
71,Melissa Johnson,"014 Susan Plaza Apt. 104
Robertchester, WI 41937",2023-01-17,90,A-,1940-12-25,19,Male,Wanda Caldwell,071-00-1071
11,Eric Beasley,"0157 Ashley Court Suite 871
New Reginaldfurt, UT 20064",2022-12-12,34,O-,1959-05-24,7,Female,Jonathan Gonzales,011-00-1011
31,Sharon Wolf,"993 Landry Extensions
Lake Victor, NE 39418",2023-03-07,22,A+,1960-03-13,15,Female,Curtis Dunn,031-00-1031
29,Kimberly Kemp,"PSC 6929, Box 1815
APO AA 23156",2023-04-17,54,A-,1997-07-04,20,Female,Nicholas Garner,029-00-1029
90,Martin Carlson,"35393 Christopher Mills Suite 123
Ashleyburgh, KS 39764",2023-03-10,28,AB+,1985-07-17,23,Male,Michelle Williams,090-00-1090
62,Dustin Hubbard,"99535 Steven Pike
Hartbury, AS 05687",2023-06-22,98,O+,1983-04-18,22,Male,Devin Bradford,062-00-1062
43,Ashley Wells,"9557 Katie Key
Gutierrezborough, FM 25616",2023-03-14,44,AB+,1975-01-15,20,Female,Patricia Palmer,043-00-1043
75,Michael Mays,"270 Casey Hill Apt. 076
New Camerontown, AL 66798",2023-01-22,61,O+,1958-12-07,20,Male,William Byrd,075-00-1075
17,Gregory Payne,"01058 Christopher Burgs
Jamesbury, WV 78720",2022-12-14,73,B-,1994-03-19,4,Male,Priscilla Harper,017-00-1017
68,Robert Schaefer,"PSC 9327, Box 1962
APO AE 64138",2023-04-07,33,AB-,1978-04-12,14,Female,Nicole Martinez,068-00-1068
48,Destiny Wilson,"5617 Jones Turnpike
East Leslie, FM 81486",2023-08-03,17,A-,1992-12-02,28,Female,James Mendoza,048-00-1048
85,Rebekah Taylor,"3434 Joseph Creek Apt. 023
Port Shawn, MD 16627",2023-01-13,13,B-,1960-02-11,8,Male,Scott Lee,085-00-1085
46,Tina Swanson,"799 Dunn Vista Apt. 285
Farrellton, NM 49402",2023-10-28,70,AB+,1940-03-13,19,Male,Kristen Green,046-00-1046
44,Victor Brown,"2841 Russell Trace Suite 575
Port Maxwellside, DE 22252",2023-02-24,10,B-,1976-11-01,18,Male,Matthew Flores,044-00-1044
35,Lindsay Schmidt,"PSC 6770, Box 0617
APO AP 73334",2023-06-08,74,B+,2000-03-03,3,Female,Andrew Castillo,035-00-1035
2,Jessica Mendoza,"21102 Nicholas Valleys
Houstonview, MH 40101",2023-11-10,75,O+,1978-05-01,4,Female,Brenda Romero,002-00-1002
89,Lindsey Berry,"7951 Williams Extensions Apt. 393
Harrisview, PA 96728",2023-06-29,51,A+,1966-06-15,24,Female,Victoria James,089-00-1089
24,Cassandra Myers,"079 Vasquez Shores
Port Thomas, RI 34627",2023-04-05,35,O-,1993-09-11,20,Male,Katherine Parker,024-00-1024
41,Samuel Fletcher,"06733 Duncan Place Suite 649
New Jamie, MA 08769",2023-06-28,57,AB-,2004-03-15,11,Female,Erica Hughes,041-00-1041
12,Brenda Lee,"491 Danielle Gardens
South Markborough, FL 32948",2023-10-03,76,B-,1985-06-07,24,Male,Ashley Roberts,012-00-1012
36,Ruben Gonzales,"24275 Martin Center Apt. 519
Harrisland, AL 53881",2023-10-25,82,O-,1975-02-18,17,Female,Shannon Gonzalez,036-00-1036
82,Cory Allen,"9047 Michael Station Apt. 136
West Jean, UT 45102",2023-05-11,12,AB+,1981-08-23,23,Male,Christopher Simpson,082-00-1082
13,Barry Hall,"344 Gutierrez Corners Apt. 883
Wilsonfort, MD 38794",2023-07-07,21,A-,1957-01-16,7,Female,Helen Zimmerman MD,013-00-1013
27,Elizabeth Black,"9108 Johnson Parkways
New Janice, WY 01746",2023-06-13,46,A-,1981-10-21,5,Male,Jennifer Maxwell,027-00-1027
3,Danielle Rodriguez,"4075 Thomas Brook Suite 821
Hannahfort, ID 19004",2023-05-04,97,A-,1973-11-08,19,Male,James Phillips,003-00-1003
52,Pamela Wallace,"724 Sandra Key
Robinsonside, MD 07021",2023-03-28,18,AB+,1972-09-24,5,Male,Beth Dominguez,052-00-1052
32,Melissa Ellis,"1627 Page Cliff Apt. 014
North Joshua, SC 83681",2023-07-25,5,A-,1996-04-11,26,Female,Michael Dixon,032-00-1032
72,Carlos Gibson,"8640 Turner Way
East Jenniferside, CO 68401",2023-05-28,52,A-,1942-11-29,26,Male,Anna Zimmerman,072-00-1072
63,Ryan Padilla,"300 Adams Rapids
Lake Seanhaven, AZ 97620",2023-08-22,53,A+,1993-09-12,2,Male,Larry Park,063-00-1063
14,Glen Alexander,"318 Gabriel Parkways
Morganside, FL 93565",2023-04-03,1,O+,1984-08-13,29,Male,Gregory Jackson,014-00-1014
22,Heather Smith,"0078 Marquez Parks
Angelastad, AR 10333",2023-03-19,80,AB-,1994-03-04,11,Male,Alfred Hall,022-00-1022
55,Samuel Kirk,"799 Wong Springs
Tonyachester, MD 80679",2022-12-12,68,B-,2004-01-03,14,Female,Nathan Michael,055-00-1055
5,Shawn Mcpherson,"USCGC Davis
FPO AE 18132",2023-02-18,14,O-,1966-09-01,6,Female,Nancy Sanchez,005-00-1005
34,Crystal Paul,"PSC 8372, Box 2677
APO AA 36511",2023-03-07,60,O-,2003-11-08,3,Male,Joshua Murphy,034-00-1034
73,Jessica Luna,"33855 Jonathan Trafficway Suite 242
Ryanfurt, MP 59439",2023-04-25,30,AB-,1986-10-18,6,Male,Maria Golden,073-00-1073
98,Mark Sanchez,"USS Patton
FPO AP 73310",2023-01-12,26,O-,1941-10-13,18,Female,Tracey Roberts,098-00-1098
84,Jeffrey Sweeney,"57365 Amy Meadows Apt. 081
West Lisabury, MN 46433",2023-02-05,99,A+,1965-10-12,23,Male,Katie Smith,084-00-1084
25,Ana Crawford,"PSC 8303, Box 4362
APO AP 02926",2023-04-08,48,B-,1943-12-13,13,Male,Kristin Villegas,025-00-1025
100,Caleb Huber,"918 Mejia Estates
New Carolyn, MH 51238",2023-09-30,65,O+,1955-11-21,20,Female,Christine Simmons,100-00-1100
78,Timothy Roberts,"65844 James Circles Apt. 323
Hessberg, SC 04736",2023-10-04,79,B-,1963-02-25,18,Female,Cassandra Vazquez,078-00-1078
54,Autumn Rivera,"USNV Werner
FPO AE 58994",2023-06-15,94,B-,1988-02-09,13,Female,Sandra Taylor,054-00-1054
87,Patrick Barnes,"USNV Evans
FPO AP 48650",2023-02-05,83,A+,1950-08-24,3,Male,Jack Perkins,087-00-1087
8,Frances Howard,"433 Mark Via Apt. 697
Markfort, MT 83162",2023-08-29,11,AB-,1985-05-10,23,Female,Elizabeth Dean,008-00-1008
47,Miranda James,"3637 Henderson Crossroad Suite 050
Fisherview, AZ 12576",2023-11-24,23,B+,1938-06-11,17,Female,Susan Dorsey,047-00-1047
65,Alexandra Rodriguez,"USNS Garcia
FPO AP 59068",2023-07-14,58,A-,1996-10-15,29,Male,Sandra Black,065-00-1065
45,William Griffith,"726 Hicks Prairie Suite 029
Saramouth, WV 45171",2023-10-04,49,A+,1956-01-31,28,Female,Dylan Cruz,045-00-1045
74,Jacob Martin,"4867 Leah Summit
Lake Toddton, NM 48333",2023-01-19,59,A+,1953-02-11,14,Female,Lawrence Sanders,074-00-1074
77,Matthew Munoz,"3580 Heather Underpass Suite 811
Barrfort, ND 93555",2023-12-01,37,B+,1976-11-12,29,Male,Lori Erickson,077-00-1077
60,Jessica Ponce,"3660 Thompson Station Suite 727
Sharonshire, DC 08157",2023-01-29,62,A+,1980-08-02,25,Male,Thomas Martinez,060-00-1060
96,Mr. Eric Smith,"8803 Russell Drive
Thompsonchester, CT 28510",2023-11-17,45,O-,1950-11-29,15,Male,Brandon Jones,096-00-1096
58,Emily Wiggins,"9873 Mills Skyway Apt. 098
North Crystal, WA 39417",2023-02-05,72,O-,1965-10-13,1,Female,Monica Macias,058-00-1058
21,Jade Castro,"PSC 2210, Box 1031
APO AP 94515",2022-12-14,86,AB+,1950-05-19,21,Male,Kristin Johnson,021-00-1021
83,Ellen Cook,"6058 Garcia Fort Apt. 407
Lake Micheal, VA 24432",2023-05-01,6,B+,1968-01-31,30,Male,Jared Caldwell,083-00-1083
94,Mitchell Williamson,"5338 Samantha Spur
Hunterside, MS 09355",2023-06-22,27,AB-,1953-01-02,23,Female,Joshua Johnson,094-00-1094
92,Laurie King,"5246 Sonya Plain
Brandonberg, AR 59520",2023-02-21,2,B-,1965-07-27,15,Female,Kristen Davidson,092-00-1092
70,Mr. David Alvarado,"38869 Collins Loop
Lake Randymouth, NC 66574",2023-03-07,24,AB+,1998-07-03,26,Female,Crystal Freeman,070-00-1070
15,Anne Pennington,"577 Jennifer Place
Travisside, NM 36548",2023-05-15,38,B+,1968-04-07,16,Male,Jeffrey Salazar,015-00-1015
59,Jacob Boyle,"PSC 7737, Box 5365
APO AE 72558",2023-03-14,87,O+,1964-04-14,22,Male,Paul Gallegos,059-00-1059
66,William Davis,"41061 Fuentes Vista
West Brandonchester, AS 18105",2023-08-14,77,AB-,1971-09-29,9,Female,Mr. Thomas Ray Jr.,066-00-1066
64,Todd Mclean,"859 Rachel Gateway
New Noah, WY 14219",2023-04-24,63,B-,1975-09-05,5,Male,Paige Green,064-00-1064
9,Jeffrey Bishop,"66606 Mason Mission
East Lisamouth, NY 97240",2023-03-13,56,A-,1956-05-03,24,Male,Natasha Ferguson,009-00-1009
16,Alice Morris,"048 Jackson Inlet Suite 216
Reillystad, GU 50281",2023-04-27,36,A-,1935-11-08,10,Male,Nancy Smith,016-00-1016
97,Wendy George,"USCGC Cannon
FPO AA 73320",2023-07-06,20,B+,1953-04-22,4,Male,Jessica Carrillo,097-00-1097
81,Bobby Rios,"003 Michael Stream
Georgechester, FM 62107",2023-06-22,9,O-,1964-05-02,12,Female,Leah Ross,081-00-1081
10,Mrs. Amy Patterson,"115 Mcdaniel Cliffs Suite 425
Goodbury, FL 96196",2023-01-14,50,AB-,1966-08-22,25,Female,Mark Wilkerson,010-00-1010
80,Stephanie Farrell,"USNS Franklin
FPO AE 41493",2023-12-10,43,B-,1937-12-31,13,Male,Jesus Montoya,080-00-1080
